RowIndex,Meteorology_Total,SMG_Total,Meteorology_ObjectNames,SMG_ObjectNames,Meteorology_Makers,SMG_Makers,Meteorology_Materials,SMG_Materials,Meteorology_Dates,SMG_Dates,Meteorology_Places,SMG_Places,Meteorology_Descriptions,SMG_Descriptions,Meteorology_Other,SMG_Other,Unique_to_Meteorology,Unique_to_SMG
41,19,7,2,2,2,1,3,0,2,1,2,1,7,2,1,0,"{""object_names"": [""RONALDS'S ORIGINAL PHOTO-BAROMETROGRAPH""], ""makers"": [""Sir Francis Ronalds"", ""The Meteorological Office""], ""materials"": [""daguerrotype plate"", ""argand lamp"", ""zinc rods""], ""dates"": [""1847"", ""1851""], ""places"": [""Kew Observatory"", ""Brit. Assoc. Report""], ""descriptions"": [""apparatus was designed and constructed by Sir Francis Ronalds in 1847, for registering photographically the changes in the height of the barometer upon a daguerrotype plate."", ""It was afterwards erected and used at the Kew Observatory."", ""In this instrument the light from an argand lamp, after passing through a condensing lens, falls on a narrow slit cut in a metal plate attached to a barometer tube, the mercury in which, by rising or falling, varies the length of the slit illuminated."", ""An achromatic combination of lenses, by Voigtlander, throws a magnified image of the bright slit upon an aperture in the case, past which a daguerrotype plate is moved slowly by clockwork, and so registers the changes in the height of the barometer."", ""The barometer itself, together with the cistern, which is of large area, is suspended from a system of levers and zinc rods, on the principle of the gridiron pendulum, in such a manner as to render the indications immune from the effects of temperature fluctuation."", ""An improved form of this instrument, in which the photographic image is received upon paper, was developed later, and employed in many observations."", ""Lent by""], ""other"": [""Inv. 1876-795""]}","{""object_names"": [""Ronalds' photobarometrograph""], ""makers"": [], ""materials"": [], ""dates"": [], ""places"": [""ex Kew Observatory""], ""descriptions"": [""Meteorology"", ""photobarometrograph""], ""other"": []}"
42,15,10,1,1,1,1,3,2,2,1,1,0,5,2,2,3,"{""object_names"": [], ""makers"": [], ""materials"": [""pure glycerine"", ""paraffin oil""], ""dates"": [""1873"", ""1876""], ""places"": [""well of the staircase between the upper and lower galleries""], ""descriptions"": [""delicate \""weather glass\"" indicating small changes of pressure by considerable variations in the height of the indicating column, and at the same time preserving the accuracy of the mercurial barometer"", ""specific gravity of 1.26, or about one-tenth that of mercury"", ""high boiling point"", ""low vapour tension at ordinary temperatures"", ""not subject to the errors of a water barometer"", ""fluctuations of the column of glycerine are observed in a glass tube of 1 sq. in. sectional area, or one-hundredth that of the cistern"", ""divided scale on the right hand side is in inches, and that on the left shows the equivalent values reduced to a column of mercury""], ""other"": [""Inv. 1876-760"", ""Proc. Roy. Soc., Vol. XXX, 1873, p. 105""]}","{""object_names"": [], ""makers"": [], ""materials"": [""lead piping""], ""dates"": [], ""places"": [], ""descriptions"": [""glazed case"", ""(?) chart""], ""other"": [""Meteorology barometer"", ""barometer"", ""(see part records)""]}"
43,12,6,1,1,1,1,0,0,3,1,0,0,5,1,2,2,"{""object_names"": [], ""makers"": [], ""materials"": [], ""dates"": [""1876 (designed)"", ""1851"", ""1853""], ""places"": [], ""descriptions"": [""similar in principle to those of Hall in 1851 and Rankine 1853"", ""designed by Mr. Stanley in 1876 in order to secure the mean of the atmospheric pressure for any given period, as hourly, daily, weekly, monthly or yearly, by simple observations."", ""a barometer tube of modified construction is suspended as a pendulum, and driven as an ordinary time pendulum, by clockwork."", ""the modification consists principally in making the vacuum chamber at the top and the cistern below of nearly equal diameters, so that increase of atmospheric pressure shall raise as great a weight as is necessary to shorten the radius of the centre of oscillation sufficiently for the clock to be accelerated considerably thereby."", ""the clockwork is so constructed that the number of oscillations of the pendulums are continuously counted off on the dial, which reads decimally up to ten millions, and it is found that a rise of 1 in. of mercury in the barometer pendulum accelerates the clock about 949 beats per day."", ""To ascertain the mean atmospheric pressure over a given period by this instrument, the time of observation at which the period commences must be taken by an ordinary clock simultaneously with the reading of the dial, as also at the end of the given period."", ""Temperature correction is made by means of the temperature clock or chronothermometer shown adjacent.""], ""other"": [""Inv. 1886-70"", ""Q. J. R. Met. Soc., Vol. III, 1877, p. 352, and Vol. XII, 1886, p. 115.""]}","{""object_names"": [], ""makers"": [], ""materials"": [], ""dates"": [], ""places"": [], ""descriptions"": [""Meteorology chronobarometer; chronobarometer 1876 Stanley, William Ford""], ""other"": []}"
44,8,7,1,1,1,1,0,0,2,1,0,3,3,1,1,0,"{""object_names"": [""BAROMETER ADJUNCT""], ""makers"": [""L. Casella, Esq.""], ""materials"": [], ""dates"": [""1880 (lent date)"", ""1893""], ""places"": [], ""descriptions"": [""designed in 1880 by Wallis for use with the Fortin barometer in adjusting the level of the mercury in the cistern before taking a reading"", ""consists of a small microscope for attachment to the cistern, to facilitate adjustment of the ivory point"", ""See Q. J. R. Met. Soc., Vol. VI, p. 164.""], ""other"": [""Inv. 1893-156""]}","{""object_names"": [""Wallis barometer eyepiece""], ""makers"": [""L. Casella, London, England""], ""materials"": [], ""dates"": [], ""places"": [""London"", ""England"", ""Greater London"", ""United Kingdom""], ""descriptions"": [""Meteorology barometers; barometers""], ""other"": []}"
45,15,10,1,1,1,1,4,0,1,1,0,4,7,2,1,1,"{""object_names"": [""PORTABLE PEDIMENT BAROMETER""], ""makers"": [""Messrs. Elliott Bros.""], ""materials"": [""mercurial"", ""closed cistern type"", ""cylindrical wooden cistern"", ""flexible leather diaphragm""], ""dates"": [""1922""], ""places"": [], ""descriptions"": [""may also be used as a weather glass"", ""fitted with a flexible leather diaphragm, which is adjusted by means of a screw operated from below"", ""Opal scales and a double index are provided behind the upper end of the tube"", ""rackwork verniers enable the reading to be made to 0\u00b701 in. and compared with that of the previous day"", ""Barometer indications are given on one scale for a rising, and on the other for a falling, barometer"", ""thermometer attached to the front of the instrument indicates temperatures in the Fahrenheit and Centigrade scales"", ""portable""], ""other"": [""Inv. 1890-49""]}","{""object_names"": [""Pediment barometer""], ""makers"": [""Elliott Brothers""], ""materials"": [], ""dates"": [""19th century"", ""1853-1900""], ""places"": [""London"", ""Greater London"", ""England"", ""United Kingdom""], ""descriptions"": [""Meteorology barometer"", ""barometer""], ""other"": []}"
46,12,5,1,1,1,0,3,0,1,1,0,0,5,1,1,2,"{""object_names"": [], ""makers"": [""Messrs. P. Harris & Co.""], ""materials"": [""wooden"", ""flexible leather base"", ""screw""], ""dates"": [], ""places"": [], ""descriptions"": [""closed cistern type"", ""cylindrical cistern"", ""adjusted by a screw operated from below"", ""graduated scale fitted with two rackwork verniers"", ""height of the barometer can be read to 0\u00b701 in. and compared with the reading of the previous day"", ""Four weather indications are also given opposite the appropriate graduations, enabling the instrument to be used as a weather glass""], ""other"": [""Inv. 1889-24""]}","{""object_names"": [], ""makers"": [], ""materials"": [], ""dates"": [], ""places"": [], ""descriptions"": [""Meteorology barometer"", ""barometer 1801-1900""], ""other"": []}"
47,19,15,1,2,1,1,3,2,1,1,2,3,10,4,1,2,"{""object_names"": [""STATION BAROMETER""], ""makers"": [], ""materials"": [""metal case"", ""leather washer"", ""air-trap""], ""dates"": [], ""places"": [""British Isles""], ""descriptions"": [""Kew Pattern Station barometer"", ""in general use in the British Isles at the present time"", ""used at all land stations under the control of the Meteorological Office"", ""glass tube is considerably contracted for the greater portion of its length in order to prevent unsteadiness of the mercury column or \""pumping\"""", ""to strengthen the tube"", ""to lessen the weight of mercury"", ""mounted on gimbals to ensure verticality"", ""upper part of the instrument carries a scale"", ""graduated in millibars and inches"", ""vernier enables the height to be read to 0.01 millibars or 0.002 in"", ""thermometer, which is graduated to read temperature on the Fahrenheit scale from 5\u00b0 F. to 130\u00b0 F., and on the absolute scale from 253a to 328a"", ""small hole in the upper part of the cistern admits access to the super-incumbent air in the cistern"", ""washer of leather permits the atmosphere to exert pressure, but prevents the mercury escaping from the cistern"", ""To prevent air and moisture leaking into the vacuum above the mercury column"", ""as suggested by Bunten in 1824"", ""inserted between the cistern and the top of the mercury column"", ""By this means, any air entering the tube becomes imprisoned at the trap, and therefore cannot interfere with the efficiency of the instrument""], ""other"": [""Inv. 1914-312""]}","{""object_names"": [""Barometer"", ""fixed-cistern barometer""], ""makers"": [""S. & A. Calderara""], ""materials"": [""mercury""], ""dates"": [""1914""], ""places"": [""Springfield Gardens, Clapton, London, England, UK"", ""London, Greater London, England, United Kingdom""], ""descriptions"": [""Kew pattern"", ""for use at meteorological stations"", ""serial no. 1382"", ""with Meteorological Office mark"", ""The barometer scale is marked in centibars"", ""has a vernier for precision readings"", ""A mercury thermometer, marked in kelvins, is mounted on the outside of the case"", ""Meteorology barometer"", ""barometer 1914""], ""other"": [""serial no. 1382"", ""Meteorological Office mark""]}"
48,16,11,1,1,2,2,5,0,2,1,0,4,4,2,2,1,"{""object_names"": [], ""makers"": [""Lent by The Meteorological Office""], ""materials"": [""closed metal cylinder"", ""large wooden case"", ""feathers"", ""non-conducting material"", ""fine capillary tube"", ""hollow cylindrical bell"", ""mercury""], ""dates"": [""1922""], ""places"": [], ""descriptions"": [""to secure a magnified record of the minor fluctuations of atmospheric pressure, and, at the same time, to disentangle these fluctuations from the general barometric surges"", ""containing air at approximately atmospheric pressure"", ""provided with a mechanical arrangement by which the variations of the difference of the pressures inside and out are recorded"", ""In order that the temperature of this air may only change slowly"", ""the cylinder is enclosed in a large wooden case, the intervening space being packed with feathers, or some other non-conducting material"", ""in order that the pressure inside may not differ materially from that outside, a very small leak is allowed, through a fine capillary tube, which does not interfere with changes of short period, but prevents the pen from wandering from its mean position during a steady rise or fall of the barometer"", ""A hollow cylindrical bell floats mouth downwards in a vessel containing mercury, and the interior of the bell communicates with the air chamber through a vertical pipe"", ""Fairly rapid decrease of external pressure, or increase of internal pressure, causes the bell to rise, and the motion is magnified by a system of levers and communicated to the pen, which records on a chart rotated by clockwork"", ""(See Q. J. R. Met. Soc., 1905, p. 39.)""], ""other"": [""Inv. 1921-74""]}","{""object_names"": [], ""makers"": [], ""materials"": [], ""dates"": [], ""places"": [""London"", ""Greater London"", ""England"", ""United Kingdom""], ""descriptions"": [""Meteorology barograph; barograph""], ""other"": []}"
49,14,9,1,1,1,1,0,1,3,1,0,3,7,1,2,1,"{""object_names"": [""MICROMETER-READING BAROMETER""], ""makers"": [""Negretti and Zambra""], ""materials"": [], ""dates"": [""1922"", ""1919 (Patented)"", ""1921""], ""places"": [], ""descriptions"": [""Designed and patented by Mr. F. L. Halliwell in 1919 in order to incorporate in a station barometer the accuracy and ease of reading which are peculiar to the micrometer."", ""In this barometer the vernier is dispensed with, and the finer readings are made direct on a drum micrometer."", ""The barometer, which is of the Kew pattern, is suspended freely from an arm and may be clamped in position by the three screws at the lower end."", ""The upper portion of the tube is surrounded by a metal cylindrical collar, carrying at its upper extremity a sighting piece bearing an arrow which moves along the scale."", ""The motion of the collar is governed by the rotation of the micrometer head, by means of which its position may be adjusted."", ""When taking a reading, the sighting piece is brought level with the top of the mercury by revolving the micrometer head."", ""The arrow mark on the sighting piece shows the reading to the nearest 0.1 in., while the micrometer drum indicates to 0.001 in., which can be subdivided easily by the eye to 0.0002 in."", ""In the case of instruments fitted with the metric and C.G.S. scales, the barometric height can be determined similarly to 0.025 mm. and 0.025 millibars respectively.""], ""other"": [""Pat. Specn. No. 139029, 1919"", ""Inv. 1921-321""]}","{""object_names"": [""Kew station barometer""], ""makers"": [""Negretti and Zambra""], ""materials"": [""Board of Trade cistern""], ""dates"": [""1919""], ""places"": [""London, England"", ""London, Greater London, England, United Kingdom""], ""descriptions"": [""barometer""], ""other"": [""serial No.3127 (backboard)"", ""Metrology barometer""]}"
50,14,10,1,1,1,2,4,1,1,1,0,3,4,1,3,1,"{""object_names"": [""MARINE BAROMETER""], ""makers"": [], ""materials"": [""metal case"", ""wooden cistern"", ""flexible leather cap"", ""mahogany case""], ""dates"": [""early part of the nineteenth century""], ""places"": [], ""descriptions"": [""instrument was made by Thomas Jones in the early part of the nineteenth century."", ""provided at its lower end with a flexible leather cap, adjusted by a screw operated below."", ""bore of the barometer tube is contracted for the greater portion of its length to minimise \""pumping\"""", ""provided with a brass scale and vernier near its upper extremity. It is graduated in tenths of an inch and reads by vernier to one-hundredth. A thermometer is attached to the instrument which reads from 0\u00b0 to 134\u00b0 F.""], ""other"": [""Lent by The Meteorological Office"", ""Inv. 1908-83"", ""S.M. 1437, L.S""]}","{""object_names"": [""Marine barometer""], ""makers"": [""Thomas Jones, 62 Charing Cross, London, England"", ""Jones, Thomas""], ""materials"": [""mercury thermometer""], ""dates"": [""1820-1830""], ""places"": [""62 Charing Cross, London, England"", ""London, England"", ""United Kingdom""], ""descriptions"": [""mercury thermometer""], ""other"": [""Meteorology""]}"
51,13,4,1,1,1,1,3,0,1,1,0,0,5,0,2,1,"{""object_names"": [], ""makers"": [], ""materials"": [""metal-cased"", ""iron cistern"", ""mercury thermometer""], ""dates"": [], ""places"": [], ""descriptions"": [""open iron cistern replaces the customary wooden one"", ""instrument is rendered portable by screwing the lower portion of the case"", ""mercury thermometer is fitted with its bulb in the cistern so as to indicate the temperature of the mercury accurately"", ""By means of a graduated scale and vernier the barometric height can be read off to 0.002 in."", ""Newman called attention to the inaccuracy of the ordinary system of marking off barometer scales from a presumed standard, without regarding the absolute height of the mercury, or the relative proportions of the diameters of the tubes and cisterns. (See Quart. Jour. of Science, Vol. XVI, p. 277.)""], ""other"": [""Lent by The Meteorological Office"", ""Inv. 1908-86""]}","{""object_names"": [], ""makers"": [], ""materials"": [], ""dates"": [], ""places"": [], ""descriptions"": [], ""other"": [""Meteorology marine barometer"", ""marine barometer 1824 Newman, John""]}"
52,10,9,1,1,1,1,2,0,1,1,0,4,4,2,1,0,"{""object_names"": [], ""makers"": [], ""materials"": [""leather cap"", ""metal scale""], ""dates"": [], ""places"": [], ""descriptions"": [""closed cistern type"", ""leather cap of which can be adjusted from below"", ""designed to be mounted on gimbals"", ""rackwork vernier enables the barometer height to be read to 0.002 in."", ""No thermometer is fitted""], ""other"": [""Lent by The Meteorological Office""]}","{""object_names"": [], ""makers"": [""Anthony""], ""materials"": [], ""dates"": [""1838-1849""], ""places"": [""London"", ""Greater London"", ""England"", ""United Kingdom""], ""descriptions"": [""Meteorology marine barometer; marine barometer""], ""other"": []}"
53,10,11,1,2,2,2,0,0,1,1,0,3,5,2,1,1,"{""object_names"": [""MARINE BAROMETER""], ""makers"": [""The Meteorological Office""], ""materials"": [], ""dates"": [""first half of the nineteenth century""], ""places"": [], ""descriptions"": [""supported by a spring arm, designed to reduce oscillations"", ""instrument is almost identical with that by Dennis, shown adjacent"", ""bore of the tube is contracted in the central portion in order to eliminate \""pumping\"""", ""still further damped by the spring arm"", ""scale is graduated in tenths of an inch, and a vernier enables the height to be read to one-hundredth of an inch"", ""A thermometer is fitted, graduated according to the Fahrenheit and R\u00e9aumur scales""], ""other"": [""Inv. 1894-118""]}","{""object_names"": [""Bate type marine barometer"", ""marine barometer""], ""makers"": [""Robert Brettell Bate""], ""materials"": [], ""dates"": [""1808-1847""], ""places"": [""London"", ""England"", ""United Kingdom""], ""descriptions"": [""No. 16"", ""Meteorology marine barometer""], ""other"": []}"
54,13,10,1,1,1,1,2,0,1,1,0,4,6,1,2,2,"{""object_names"": [], ""makers"": [], ""materials"": [""metal case"", ""wooden cistern""], ""dates"": [], ""places"": [], ""descriptions"": [""This instrument was used during the Arctic expedition of 1853 to 1855 on board H.M.S. \""Rattlesnake.\"""", ""It is a closed cistern barometer, similar to the others shown adjacent."", ""The lower portion of the metal case has been removed in order that the wooden cistern may be seen."", ""The graduations are in tenths of an inch, and readings to hundredths are obtainable by vernier."", ""The thermometer is graduated for both the Fahrenheit and R\u00e9aumur scales.""], ""other"": [""Inv. 1908-85"", ""Lent by The Meteorological Office""]}","{""object_names"": [], ""makers"": [""John Charles Dennis, Bishopsgate Street, City of London""], ""materials"": [], ""dates"": [], ""places"": [""Bishopsgate Street"", ""City of London"", ""London"", ""Greater London"", ""England"", ""United Kingdom""], ""descriptions"": [""Meteorology marine barometer; marine barometer""], ""other"": [""Dennis, John Charles""]}"
55,16,10,2,4,1,1,2,0,2,1,1,2,7,0,1,2,"{""object_names"": [""MARINE BAROMETER"", ""sympiesometer""], ""makers"": [""T. C. Sargent"", ""The Meteorological Office""], ""materials"": [""wooden case"", ""gimbal support""], ""dates"": [""1877 (as lent date)"", ""1908""], ""places"": [""aboard H.M.S. \""Repulse\""""], ""descriptions"": [""used on board H.M.S. \""Repulse,\"" under Admiral Cochrane, in 1877"", ""closed cistern type"", ""scale is graduated in tenths of an inch"", ""two rackwork verniers enable the barometer reading to be taken to 0.01 of an inch and compared with that of the previous day"", ""sympiesometer is of the pattern designed by Adie in 1818"", ""described in an adjacent label"", ""barometer reading to be taken to 0.01 of an inch""], ""other"": [""Inv. 1908-84""]}","{""object_names"": [""Marine barometer with sympiesometer""], ""makers"": [""Thomas Cornelius Sargent""], ""materials"": [], ""dates"": [], ""places"": [""London, England"", ""United Kingdom""], ""descriptions"": [], ""other"": [""Meteorology"", ""marine barometer""]}"
56,15,7,1,1,1,1,2,0,1,1,1,2,6,2,3,0,"{""object_names"": [""EARLY SIPHON BAROMETER""], ""makers"": [], ""materials"": [""ornamental wood panel"", ""coloured alcohol""], ""dates"": [], ""places"": [], ""descriptions"": [""early siphon form"", ""short arm of the siphon is in the form of a conically shaped cistern"", ""upper portion of the main tube is graduated in eighths of an inch from 0 to 36"", ""corresponding weather indications are given in Latin and English between the extremes of \""storm\"" and \""great drought\"""", ""thermometer, which is 2 ft. long, has a large globular bulb"", ""thermometer is graduated from 0\u00b0 to 90\u00b0 in each direction from the zero, which indicates \""temperate weather\"", the limits being marked \""excessive cold\"" and \""excessive hot weather\"""", ""early form of graduation in use before the introduction of the Fahrenheit and other well-known scales of temperature""], ""other"": [""Inv. 1909-134"", ""S.M. 989"", ""L.S.""]}","{""object_names"": [""Combined barometer and thermometer""], ""makers"": [], ""materials"": [], ""dates"": [], ""places"": [""England"", ""United Kingdom""], ""descriptions"": [""Meteorology barometer; thermometer; barometer; thermometer""], ""other"": []}"
57,16,8,1,1,1,1,4,0,2,1,1,4,6,1,1,0,"{""object_names"": [], ""makers"": [], ""materials"": [""leather bag"", ""brass scale"", ""vernier"", ""wooden case""], ""dates"": [""about 1770""], ""places"": [], ""descriptions"": [""portable siphon barometer"", ""represents the stage of development at that period"", ""lower end of the barometer tube terminates in a leather bag below which is a screw, by means of which the mercury may be forced to the top of the tube for transport"", ""graduated to 0.05 in."", ""enables the barometric height to be read with an accuracy of 0.002 in."", ""A thermometer is also fitted, reading from -10\u00b0 F. to 150\u00b0 F., thereby enabling the observed reading to be corrected for the effect of temperature."", ""The whole instrument is mounted in a wooden case to facilitate transport.""], ""other"": [""Inv. 1921-565.""]}","{""object_names"": [], ""makers"": [], ""materials"": [], ""dates"": [], ""places"": [""Edinburgh, Scotland"", ""United Kingdom""], ""descriptions"": [""Meteorology barometer""], ""other"": [""J.""]}"
58,10,9,1,1,1,1,1,0,2,1,1,4,3,1,1,1,"{""object_names"": [], ""makers"": [], ""materials"": [""box"", ""thick-walled capillary tube"", ""mercury""], ""dates"": [""about 1800""], ""places"": [], ""descriptions"": [""ordinary siphon form barometer"", ""bulb is enclosed in a box at the lower end"", ""vertical thick-walled capillary tube serves to contain the column of mercury"", ""scale of inches is provided behind the upper end of the instrument"", ""weather indications are also marked""], ""other"": [""Inv. 1918-191""]}","{""object_names"": [], ""makers"": [], ""materials"": [], ""dates"": [], ""places"": [""London"", ""Greater London"", ""England"", ""United Kingdom""], ""descriptions"": [""Meteorology barometer""], ""other"": []}"
59,19,10,2,1,2,2,1,0,4,1,2,2,6,1,2,3,"{""object_names"": [""KREIL\u2019S BAROMETROGRAPH""], ""makers"": [""The Meteorological Office""], ""materials"": [""mercury"", ""pencil"", ""rectangular chart""], ""dates"": [""1922"", ""1845"", ""1870"", ""1841\u20131842""], ""places"": [""Kew Observatory""], ""descriptions"": [""This instrument, which was designed in 1841, was employed at the Kew Observatory in 1845 for the purpose of registering automatically the height of the barometer."", ""It anticipated the principle of Changeux, who, in 1870, introduced mechanism by which the recording pencil, instead of acting continuously, was left free, and struck by a hammer at definite times."", ""The apparatus consists of a siphon barometer having a float resting upon the surface of the mercury in the open end of the tube, and attached to a cord, which passes round a sector of the short arm of a balance lever, to which it is secured."", ""The other end of the lever carries an ordinary pencil, which is struck at five minute intervals by a clock regulated hammer, and makes a point on a rectangular chart drawn along in a horizontal direction by clockwork."", ""(See Magnetische und Meteorologische Beobachtungen zu Prag, 1841\u20131842.)""], ""other"": [""Inv. 1876-793""]}","{""object_names"": [""Kreil barograph""], ""makers"": [""F."", ""Kreil""], ""materials"": [], ""dates"": [], ""places"": [""Prague"", ""Czech Republic"", ""Czechoslovakia""], ""descriptions"": [""Meteorology barograph; barograph""], ""other"": [""1841 Prague"", ""1841 Czechoslovakia""]}"
60,12,8,1,1,1,4,0,0,3,1,0,0,6,2,1,0,"{""object_names"": [""MILNE\u2019S BAROGRAPH""], ""makers"": [""West""], ""materials"": [], ""dates"": [""1922"", ""1857"", ""1864""], ""places"": [], ""descriptions"": [""balance form of siphon barometer"", ""record is obtained by a float placed on the mercury of the short arm, and connected with one arm of a horizontal lever the other arm of which carries a pricker"", ""small hammer, actuated by the clock train, drives this pricker every hour against a rectangular chart which travels along horizontally to receive the record"", ""series of indentations thus made shows the fluctuations in barometric pressure"", ""paper is ruled in tenths of an inch, and estimations of smaller amounts can be made readily owing to the long range afforded by giving the greater length to the recording arm of the lever"", ""Graduated scales fitted with vernier are attached to the longer and shorter arms of the siphon tube, and enable the barometric height to be read to 0\u00b701 in.""], ""other"": [""Inv. 1894-119""]}","{""object_names"": [""Milne barograph""], ""makers"": [""Unknown maker"", ""Schoof, W. G."", ""Milne, Alexander, Sir""], ""materials"": [], ""dates"": [], ""places"": [], ""descriptions"": [""Meteorology barograph""], ""other"": []}"
61,21,12,2,2,3,2,1,1,1,1,0,1,11,2,3,3,"{""object_names"": [], ""makers"": [""Unknown maker""], ""materials"": [""potassium nitrate"", ""ammonium chloride"", ""camphor"", ""alcoholic solution"", ""distilled water""], ""dates"": [], ""places"": [], ""descriptions"": [""siphon form"", ""short arm of the siphon"", ""main tube"", ""small capacity error"", ""graduated scale"", ""read to 0\u00b71 in."", ""two pointers"", ""reading may be compared with that of the previous day"", ""mercury thermometer is fitted"", ""directions are given for forecasting weather from observations of the barometer, thermometer, and anemometer"", ""tables indicating heights above sea level, with corresponding atmospheric pressures"", ""embodies a storm glass"", ""hermetically sealed cylindrical phial"", ""crystals are said to remain at the bottom of the tube, leaving the liquid clear"", ""crystals are said to rise, when the liquid becomes turbid"", ""changes, according to Admiral Fitzroy, are due to variation of the mixture with the direction of the wind, whether the glass is exposed in the outer air or in the ordinary light of a well-ventilated room"", ""according to Tomlinson they are due entirely to variations of light and heat"", ""instrument is considered to be simply a chemical thermoscope, the changes arising solely from temperature variation""], ""other"": [""Inv. 1906-38"", ""S.M. 989"", ""L.S.""]}","{""object_names"": [], ""makers"": [], ""materials"": [""mercury""], ""dates"": [""1861-1870""], ""places"": [""Britain"", ""United Kingdom""], ""descriptions"": [""domestic"", ""unsigned"", ""metrology"", ""mercury barometer; mercury barometer""], ""other"": [""Domestic FitzRoy's Barometer"", ""FitzRoy's Barometer""]}"
62,11,10,1,2,1,1,2,0,2,1,0,4,4,1,1,1,"{""object_names"": [""ILLUMINATED WHEEL BAROMETER""], ""makers"": [""W. Hinton, Esq.""], ""materials"": [""metal plunger"", ""fine cord""], ""dates"": [""1862 (Patented)""], ""places"": [], ""descriptions"": [""This pediment barometer is of the siphon type, and is so designed that it can be read by night as well as by day."", ""The small arm of the siphon tube contains a metal plunger, which floats on the mercury and rises and falls with the liquid."", ""It is connected with a balancing weight by a fine cord passing over a pulley at the centre of the dial, which it causes to revolve, and which, by its rotary motion, moves the pointer over the circular scale."", ""It is fitted with a translucent face, which can be illuminated from behind by artificial light, as patented by Mr. Hinton in 1862, so that the barometer and thermometer scales can be observed.""], ""other"": [""Inv. 1862-101""]}","{""object_names"": [""Illuminated \""day and night\"" barometer""], ""makers"": [""Hinton""], ""materials"": [], ""dates"": [], ""places"": [""London"", ""Greater London"", ""England"", ""United Kingdom""], ""descriptions"": [""Metereology barometer""], ""other"": [""barometer""]}"
63,17,12,1,2,1,2,3,0,2,1,1,4,8,2,1,1,"{""object_names"": [""REDIER BAROGRAPH""], ""makers"": [""Redier, Paris""], ""materials"": [""ivory"", ""mercury"", ""paper-covered cylinder""], ""dates"": [""1875 (Designed)"", ""1876-773""], ""places"": [""Paris""], ""descriptions"": [""This instrument was designed by Redier in 1875 to produce mechanically a continuous record of the barometric height without the application of photography or electricity."", ""As the motive force of the mercury is not sufficient to overcome the friction of a pencil on paper, a powerful clockwork movement is employed to do the work, and the barometer only directs the action of the clockwork."", ""In this siphon barometer, a small ivory float rests on the mercury in the short arm, and carries a light, vertical needle, on the top of which rests a very light arm, which has a small ratchet at its end."", ""At the side of the apparatus are two clock movements, working in opposite directions, and a differential train unites this double cistern with a pulley, to the axis of which a cog-wheel is attached."", ""The chronometer escapement tends to draw the pulley and the pencil, and to raise the barometer upwards; the light arm pushed by the ivory float follows the movement, when the ratchet releases a fly, and allows it to revolve, which brings the barometer down again."", ""These small successive movements are followed by the pencil, and thus a straight line is produced if the barometer is stationary, and one varying right or left as the column rises or falls."", ""On the other side of the barometer are two other movements, one driving the paper-covered cylinder and the other driving a small tapping apparatus to overcome any capillarity in the barometer."", ""(See Q. J. R. Met. Soc., 1875, Vol. II, p. 412.)""], ""other"": [""Inv. 1876-773""]}","{""object_names"": [""barograph"", ""Meteorology barograph""], ""makers"": [""Redier, Louis (designer)""], ""materials"": [], ""dates"": [""1875 Paris""], ""places"": [""Ville de Paris"", ""\u00cele-de-France"", ""France""], ""descriptions"": [""A self-registering barograph, by Redier, 1875."", ""barograph""], ""other"": [""maker""]}"
64,15,12,1,1,1,1,5,2,1,1,0,3,6,1,1,3,"{""object_names"": [""MERCURY AND GLYCERINE BAROMETER""], ""makers"": [""Negretti and Zambra""], ""materials"": [""mercury"", ""glycerine"", ""barometrical tube"", ""U-tube"", ""glycerine traps""], ""dates"": [""1922""], ""places"": [], ""descriptions"": [""modification of the ordinary mercurial barometer"", ""more extended scale is obtained"", ""sensitiveness is increased"", ""siphon form"", ""vacuum as in an ordinary barometer"", ""much greater movement in the smaller tube, due to the unequal capacity of the two tubes, and the difference in the specific gravities of mercury and glycerine"", ""about 9 in. of which correspond to 1 in. of the ordinary mercurial barometer"", ""0.01 in. of the mercury barometer can be read without the use of a vernier"", ""slightest variation is plainly visible""], ""other"": [""Inv. 1906-39""]}","{""object_names"": [""Long-range mercury and glycerine barometer""], ""makers"": [""Negretti & Zambra""], ""materials"": [""mercury"", ""glycerine""], ""dates"": [""1876""], ""places"": [""London"", ""England"", ""United Kingdom""], ""descriptions"": [""Meteorology mercury barometer"", ""mercury barometer""], ""other"": [""1876"", ""1876"", ""London""]}"
